incident_id,incident_lat,incident_lon,incident_date,vehicle_make,vehicle_model,vehicle_year,vehicle_type,vehicle_value,vehicle_color,owner_name,owner_address,owner_lat,owner_lon,owner_income,recovery_status,theft_method
NWK0017,40.69823034369429,-74.17824442045747,2025-02-16 13:03:04.752334,Toyota,Camry,2024,sedan,58623,Blue,Owner_17,"244 Sample St, Newark, NJ",40.57481899997673,-74.2194027508234,88884,Not Recovered,Key Theft
NWK0018,40.67669756630919,-74.23689603034548,2024-09-29 13:03:04.752367,Nissan,Altima,2014,sedan,16404,Black,Owner_18,"905 Sample St, Newark, NJ",40.70620172074146,-74.23515921809934,73641,Not Recovered,Carjacking
NWK0019,40.66085757411354,-74.19260878790483,2024-08-19 13:03:04.752408,Chevrolet,Silverado,2018,truck,62469,Red,Owner_19,"388 Sample St, Newark, NJ",40.6343701351517,-74.16239053055168,117239,Recovered,Key Theft
NWK0020,40.673021399089485,-74.2751363676971,2024-10-05 13:03:04.752441,Hyundai,Elantra,2014,sedan,68936,Blue,Owner_20,"385 Sample St, Newark, NJ",40.716455740817445,-74.2575956463254,85204,Recovered,Unknown
NWK0021,40.70150571292317,-74.24672453822622,2025-04-09 13:03:04.752473,Mercedes,C-Class,2014,sedan,49655,Silver,Owner_21,"971 Sample St, Newark, NJ",40.83081307101469,-74.32567942019793,35389,Partial,Carjacking
NWK0022,40.724860801945695,-74.16419697618579,2024-10-18 13:03:04.752503,Jeep,Wrangler,2017,suv,35535,White,Owner_22,"694 Sample St, Newark, NJ",40.81803399190936,-74.20877674107247,32653,Not Recovered,Breaking
NWK0023,40.7246789611349,-74.24588013293003,2025-07-02 13:03:04.752533,Jeep,Wrangler,2011,suv,17074,Blue,Owner_23,"901 Sample St, Newark, NJ",40.83104394516013,-74.30047971024813,44730,Recovered,Key Theft
NWK0024,40.709938279152084,-74.16630693469114,2024-08-07 13:03:04.752565,Toyota,Camry,2024,sedan,65531,Silver,Owner_24,"550 Sample St, Newark, NJ",40.60893039971437,-74.27759318794297,68450,Not Recovered,Carjacking
NWK0025,40.67296560299989,-74.26286311168775,2024-08-23 13:03:04.752599,Hyundai,Elantra,2010,sedan,34274,Red,Owner_25,"788 Sample St, Newark, NJ",40.753297602083855,-74.33979527347259,90759,Not Recovered,Breaking
NWK0026,40.730412452618225,-74.18699707314995,2024-08-23 13:03:04.752634,Toyota,Camry,2016,sedan,23043,Black,Owner_26,"457 Sample St, Newark, NJ",40.771695201174666,-74.33675094198608,98073,Partial,Breaking
NWK0027,40.71628642127636,-74.1557689765839,2024-12-21 13:03:04.752668,Toyota,Camry,2017,sedan,47445,Silver,Owner_27,"233 Sample St, Newark, NJ",40.63593386806461,-74.07481321832704,32983,Not Recovered,Unknown
NWK0028,40.66403395970639,-74.22551513848889,2024-10-07 13:03:04.752699,Toyota,Camry,2012,sedan,75646,Silver,Owner_28,"520 Sample St, Newark, NJ",40.83986957364296,-74.18330595743267,118599,Not Recovered,Unknown
NWK0029,40.66091439967657,-74.17217428006525,2024-10-21 13:03:04.752735,Jeep,Wrangler,2010,suv,36725,Red,Owner_29,"938 Sample St, Newark, NJ",40.78904512649755,-74.30322855515108,93692,Partial,Unknown
NWK0030,40.691257156927364,-74.23135607435707,2025-02-11 13:03:04.752766,Mercedes,C-Class,2024,sedan,71386,Silver,Owner_30,"322 Sample St, Newark, NJ",40.677764625912054,-74.16486276155861,62889,Recovered,Carjacking
NWK0031,40.73165687634239,-74.26631384961897,2025-05-18 13:03:04.752804,Hyundai,Elantra,2021,sedan,38260,Blue,Owner_31,"386 Sample St, Newark, NJ",40.56996765708655,-74.18383689096038,47540,Recovered,Unknown
NWK0032,40.74209704724875,-74.25848087604442,2025-07-19 13:03:04.752836,Toyota,Camry,2016,sedan,22506,Red,Owner_32,"149 Sample St, Newark, NJ",40.63541602470138,-74.32930757958661,94834,Recovered,Carjacking
NWK0033,40.709114381611094,-74.19150711151607,2024-11-01 13:03:04.752868,Jeep,Wrangler,2010,suv,78987,Blue,Owner_33,"812 Sample St, Newark, NJ",40.668089137049606,-74.27506293800582,90543,Partial,Key Theft
NWK0034,40.66814984095965,-74.24922316675644,2025-07-09 13:03:04.752900,Honda,Civic,2024,sedan,42057,Black,Owner_34,"435 Sample St, Newark, NJ",40.62481627274966,-74.19149322492488,63873,Partial,Key Theft
NWK0035,40.73334585537886,-74.27324495735954,2024-10-08 13:03:04.752932,Jeep,Wrangler,2011,suv,69413,Blue,Owner_35,"315 Sample St, Newark, NJ",40.82745256070542,-74.34729266327864,131228,Partial,Breaking
NWK0036,40.727947754077135,-74.19647717412059,2025-01-20 13:03:04.752961,Jeep,Wrangler,2022,suv,49844,Blue,Owner_36,"870 Sample St, Newark, NJ",40.78369890637344,-74.33559777122366,68770,Partial,Breaking
NWK0037,40.71395632712371,-74.2453597687249,2024-12-19 13:03:04.752990,Audi,Q7,2015,suv,25732,White,Owner_37,"404 Sample St, Newark, NJ",40.59193052328619,-74.22230049957217,80026,Not Recovered,Key Theft
NWK0038,40.68274955644125,-74.2306696696355,2024-08-27 13:03:04.753018,Chevrolet,Silverado,2021,truck,76675,Blue,Owner_38,"532 Sample St, Newark, NJ",40.75572300363678,-74.28203076339148,110501,Partial,Breaking
NWK0039,40.73485604887736,-74.19516364572719,2025-06-30 13:03:04.753048,Nissan,Altima,2018,sedan,64808,White,Owner_39,"258 Sample St, Newark, NJ",40.79131754838412,-74.2042016488983,105950,Partial,Carjacking
NWK0040,40.71947981288185,-74.16810652111764,2024-11-04 13:03:04.753083,Ford,F-150,2019,truck,21181,Silver,Owner_40,"175 Sample St, Newark, NJ",40.58963085119046,-74.17725468562116,104624,Not Recovered,Unknown
NWK0041,40.74588802459091,-74.17588505710894,2024-08-21 13:03:04.753114,Audi,Q7,2012,suv,79782,Blue,Owner_41,"181 Sample St, Newark, NJ",40.72810460133991,-74.12173404547225,125413,Recovered,Key Theft
NWK0042,40.659504919756436,-74.19989845899687,2025-02-07 13:03:04.753143,BMW,X5,2010,suv,52207,Red,Owner_42,"569 Sample St, Newark, NJ",40.60138739122783,-74.1935662982141,87111,Partial,Unknown
NWK0043,40.699215321557546,-74.20205285260207,2024-11-06 13:03:04.753172,Hyundai,Elantra,2021,sedan,66087,Black,Owner_43,"538 Sample St, Newark, NJ",40.82937087070703,-74.34048791579463,44052,Not Recovered,Key Theft
NWK0044,40.72743214161419,-74.19273991626989,2025-04-19 13:03:04.753203,Nissan,Altima,2022,sedan,64564,Red,Owner_44,"427 Sample St, Newark, NJ",40.65009132749847,-74.0835390393707,106139,Not Recovered,Breaking
NWK0045,40.66477833725422,-74.15830342976116,2025-05-23 13:03:04.753232,Chevrolet,Silverado,2012,truck,23314,Silver,Owner_45,"953 Sample St, Newark, NJ",40.68137121115962,-74.25350445848346,117562,Partial,Breaking
NWK0046,40.697936956412455,-74.23107326844749,2025-06-13 13:03:04.753260,Audi,Q7,2022,suv,76827,White,Owner_46,"864 Sample St, Newark, NJ",40.845989463477295,-74.14313912211881,80856,Partial,Key Theft
NWK0047,40.70882579999692,-74.19080747253629,2025-02-20 13:03:04.753288,Toyota,Camry,2011,sedan,61968,White,Owner_47,"970 Sample St, Newark, NJ",40.55369080576658,-74.23007507259223,129047,Not Recovered,Breaking
NWK0048,40.680192739144246,-74.16060255358299,2024-09-09 13:03:04.753317,Nissan,Altima,2015,sedan,79807,Red,Owner_48,"355 Sample St, Newark, NJ",40.78438821062946,-74.34350582437128,35300,Partial,Unknown
NWK0049,40.74991047304742,-74.19346098430616,2024-09-15 13:03:04.753347,Honda,Civic,2011,sedan,59247,Black,Owner_49,"321 Sample St, Newark, NJ",40.745037504667636,-74.35015456009523,137644,Recovered,Breaking
NWK0050,40.72767679406922,-74.25423345046232,2025-07-25 13:03:04.753376,Toyota,Camry,2023,sedan,17350,Black,Owner_50,"146 Sample St, Newark, NJ",40.823191468139264,-74.16343121702194,30656,Partial,Key Theft
